GeneID	GeneSymbol	
2987	GUK1	
5860	QDPR	
9453	GGPS1	
2023	ENO1	
2027	ENO3	
2026	ENO2	
9843	HEPH	
80308	FLAD1	
7360	UGP2	
2597	GAPDH	
26330	GAPDHS	
2673	GFPT1	
9945	GFPT2	
2752	GLUL	
51557	LGSN	
1800	DPEP1	
2762	GMDS	
2643	GCH1	
761	CA3	
358	AQP1	
361	AQP4	
4284	MIP	
359	AQP2	
362	AQP5	
3145	HMBS	
586	BCAT1	
3614	IMPDH1	
3615	IMPDH2	
682	BSG	
4351	MPI	
100287639	MTHFD2P1	
441024	MTHFD2L	
65220	NADK	
389015	SLC9A4	
6553	SLC9A5	
2821	GPI	
5230	PGK1	
375056	MIA3	
5232	PGK2	
5236	PGM1	
55276	PGM2	
5372	PMM1	
5373	PMM2	
210	ALAD	
60490	PPCDC	
79717	PPCS	
58510	PRODH2	
153201	SLC36A2	
221823	PRPS1L1	
5631	PRPS1	
5634	PRPS2	
29968	PSAT1	
8781	PSPHP1	
5723	PSPH	
55312	RFK	
6888	TALDO1	
79896	THNSL1	
7086	TKT	
84076	TKTL2	
8277	TKTL1	
27010	TPK1	
7167	TPI1	
286016	TPI1P2	
2582	GALE	
6675	UAP1	
91373	UAP1L1	
7390	UROS	
6563	SLC14A1	
8170	SLC14A2	
374569	ASPG	
100507855	-	
31	ACACA	
55191	NADSYN1	
132	ADK	
112611	RWDD2A	
98	ACYP2	
97	ACYP1	
51005	AMDHD2	
471	ATIC	
435	ASL	
171425	CLYBL	
132789	GNPDA2	
10007	GNPDA1	
2584	GALK1	
2585	GALK2	
2592	GALT	
5471	PPAT	
84264	HAGHL	
3034	HAL	
144193	AMDHD1	
2739	GLO1	
3612	IMPA1	
3613	IMPA2	
8776	MTMR1	
2978	GUCA1A	
4953	ODC1	
5214	PFKP	
5213	PFKM	
10050	SLC17A4	
10786	SLC17A3	
10246	SLC17A2	
6569	SLC34A1	
10568	SLC34A2	
5198	PFAS	
113675	SDSL	
7298	TYMS	
131669	UROC1	
5973	RENBP	
1635	DCTD	
286297	LOC286297	
10560	SLC19A2	
191	AHCY	
10768	AHCYL1	
51660	MPC1	
25874	MPC2	
5205	ATP8B1	
57198	ATP8B2	
23250	ATP11A	
286410	ATP11C	
5243	ABCB1	
55856	ACOT13	
7350	UCP1	
26027	ACOT11	
10058	ABCB6	
51458	RHCG	
948	CD36	
10928	RALBP1	
1728	NQO1	
2946	GSTM2	
125981	ACER1	
55331	ACER3	
340485	ACER2	
5660	PSAP	
2760	GM2A	
57704	GBA2	
4759	NEU2	
10825	NEU3	
7903	ST8SIA4	
3991	LIPE	
9388	LIPG	
13	AADAC	
747	DAGLA	
221955	DAGLB	
5408	PNLIPRP2	
5406	PNLIP	
57104	PNPLA2	
8513	LIPF	
5407	PNLIPRP1	
119548	PNLIPRP3	
2170	FABP3	
2169	FABP2	
2173	FABP7	
2171	FABP5	
2172	FABP6	
2167	FABP4	
646486	FABP12	
646480	FABP9	
6296	ACSM3	
348158	ACSM2B	
54988	ACSM5	
123876	ACSM2A	
341392	ACSM4	
344967	LOC344967	
51099	ABHD5	
154141	MBOAT1	
253558	LCLAT1	
9663	LPIN2	
64748	PLPPR2	
9890	PLPPR4	
79948	PLPPR3	
64900	LPIN3	
23175	LPIN1	
84513	PLPP5	
196051	PLPP4	
85465	SELENOI	
23646	PLD3	
122618	PLD4	
201164	PLD6	
590	BCHE	
55750	AGK	
79603	CERS4	
91012	CERS5	
29956	CERS2	
204219	CERS3	
253782	CERS6	
10715	CERS1	
56624	ASAH2	
55830	GLT8D1	
55624	POMGNT1	
55757	UGGT2	
168391	GALNTL5	
83468	GLT8D2	
8702	B4GALT4	
140687	GCNT7	
3703	STT3A	
56886	UGGT1	
283358	B4GALNT3	
8473	OGT	
8707	B3GALT2	
148789	B3GALNT2	
56983	POGLUT1	
201595	STT3B	
124872	B4GALNT2	
146664	MGAT5B	
8708	B3GALT1	
84750	FUT10	
2529	FUT7	
338707	B4GALNT4	
145173	B3GLCT	
200810	ALG1L	
2526	FUT4	
170384	FUT11	
360203	GLT6D1	
152586	MGAT4D	
644378	GCNT2P1	
84752	B3GNT9	
644974	ALG1L2	
51228	GLTP	
284004	HEXD	
79411	GLB1L	
27090	ST6GALNAC4	
129807	NEU4	
2524	FUT2	
2527	FUT5	
2528	FUT6	
113612	CYP2U1	
493869	GPX8	
64180	DPEP3	
64174	DPEP2	
10728	PTGES3	
11102	RPP14	
91179	SCARF2	
8644	AKR1C3	
10826	FAXDC2	
266740	MAGEA2B	
3930	LBR	
4645	MYO5B	
3069	HDLBP	
4864	NPC1	
285440	CYP4V2	
79644	SRD5A3	
1646	AKR1C2	
8630	HSD17B6	
158160	HSD17B7P2	
51144	HSD17B12	
51170	HSD17B11	
64834	ELOVL1	
83401	ELOVL3	
79993	ELOVL7	
51495	HACD3	
192286	HIGD2A	
9200	HACD1	
401494	HACD4	
201562	HACD2	
9524	TECR	
253017	TECRL	
283985	FADS6	
3995	FADS3	
1155	TBCB	
114571	SLC22A9	
123096	SLC25A29	
57016	AKR1B10	
9917	FAM20B	
79672	FN3KRP	
79707	NOL9	
64122	FN3K	
55277	FGGY	
93650	ACP4	
92370	PXYLP1	
390928	ACP7	
139596	UPRT	
55066	PDPR	
8974	P4HA2	
5033	P4HA1	
283208	P4HA3	
8041	-	
58478	ENOPH1	
55256	ADI1	
259307	IL4I1	
51312	SLC25A37	
81894	SLC25A28	
9108	MTMR7	
29085	PHPT1	
55613	MTMR8	
23371	TNS2	
51559	NT5DC3	
9896	FIG4	
163404	PLPPR5	
51496	CTDSPL2	
374462	PTPRQ	
9107	MTMR6	
8446	DUSP11	
138639	PTPDC1	
84814	PLPP7	
64419	MTMR14	
23203	PMPCA	
22876	INPP5F	
403313	PLPP6	
22908	SACM1L	
145553	MDP1	
9562	MINPP1	
3705	ITPK1	
138429	PIP5KL1	
10170	DHRS9	
9249	DHRS3	
220074	LRTOMT	
1735	DIO3	
1734	DIO2	
1733	DIO1	
27284	SULT1B1	
6819	SULT1C2	
84274	COQ5	
55904	KMT2E	
58508	KMT2C	
9739	SETD1A	
6839	SUV39H1	
84444	DOT1L	
9757	KMT2B	
7468	NSD2	
51111	KMT5B	
55870	ASH1L	
4297	KMT2A	
84787	KMT5C	
83852	SETDB2	
23067	SETD1B	
9869	SETDB1	
80854	SETD7	
54904	NSD3	
79723	SUV39H2	
64324	NSD1	
8085	KMT2D	
6419	SETMAR	
79813	EHMT1	
29072	SETD2	
387893	KMT5A	
64754	SMYD3	
10919	EHMT2	
28972	SPCS1	
9789	SPCS2	
60559	SPCS3	
23478	SEC11A	
90701	SEC11C	
57171	DOLPP1	
4249	MGAT5	
25834	MGAT4C	
7837	PXDN	
137902	PXDNL	
23262	PPIP5K2	
9677	PPIP5K1	
26007	TKFC	
158584	FAAH2	
283209	PGM2L1	
221223	CES5A	
23491	CES3	
1066	CES1	
1208	CLPS	
55244	SLC47A1	
146802	SLC47A2	
345274	SLC10A6	
116085	SLC22A12	
123688	HYKK	
51171	HSD17B14	
10202	DHRS2	
10553	HTATIP2	
84869	CBR4	
1487	CTBP1	
56898	BDH2	
374875	HSD11B1L	
121214	SDR9C7	
100288072	SDR42E2	
93517	SDR42E1	
51741	WWOX	
340811	AKR1C8	
441282	AKR1B15	
133121	ENPP6	
85007	PHYKPL	
250	ALPP	
251	ALPG	
123264	SLC51B	
200931	SLC51A	
10941	UGT2A1	
79799	UGT2A3	
5446	PON3	
513	ATP5F1D	
498	ATP5F1A	
506	ATP5F1B	
509	ATP5F1C	
514	ATP5F1E	
10632	ATP5MG	
4905	NSF	
10476	ATP5PD	
9551	ATP5MF	
522	ATP5PF	
516	ATP5MC1	
521	ATP5ME	
515	ATP5PB	
518	ATP5MC3	
517	ATP5MC2	
539	ATP5PO	
267020	ATP5MGL	
27109	DMAC2L	
7384	UQCRC1	
7388	UQCRH	
4519	CYTB	
29796	UQCR10	
10975	UQCR11	
7385	UQCRC2	
7386	UQCRFS1	
1537	CYC1	
27089	UQCRQ	
7381	UQCRB	
9016	SLC25A14	
7352	UCP3	
7351	UCP2	
9481	SLC25A27	
4715	NDUFB9	
4720	NDUFS2	
4719	NDUFS1	
4700	NDUFA6	
55967	NDUFA12	
4709	NDUFB3	
4710	NDUFB4	
4726	NDUFS6	
4718	NDUFC2	
4696	NDUFA3	
4694	NDUFA1	
374291	NDUFS7	
4728	NDUFS8	
4712	NDUFB6	
4717	NDUFC1	
4705	NDUFA10	
4725	NDUFS5	
4716	NDUFB10	
4537	ND3	
7991	TUSC3	
4722	NDUFS3	
4541	ND6	
4539	ND4L	
4707	NDUFB1	
4701	NDUFA7	
4723	NDUFV1	
4698	NDUFA5	
4538	ND4	
4697	NDUFA4	
51079	NDUFA13	
4714	NDUFB8	
4704	NDUFA9	
126328	NDUFA11	
4711	NDUFB5	
4724	NDUFS4	
4713	NDUFB7	
4536	ND2	
4695	NDUFA2	
4702	NDUFA8	
4708	NDUFB2	
4535	ND1	
4731	NDUFV3	
4706	NDUFAB1	
4729	NDUFV2	
4540	ND5	
54539	NDUFB11	
1351	COX8A	
1347	COX7A2	
1329	COX5B	
1327	COX4I1	
341947	COX8C	
9167	COX7A2L	
1350	COX7C	
4512	COX1	
1349	COX7B	
1339	COX6A2	
1345	COX6C	
4513	COX2	
9377	COX5A	
125965	COX6B2	
4514	COX3	
170712	COX7B2	
1346	COX7A1	
1340	COX6B1	
84701	COX4I2	
1337	COX6A1	
